Crop,Average Area (1000 ha),Average Yield (kg/ha)
Rice,142.29,1609.67
Wheat,70.9,1450.78
Kharif Sorghum,16.15,441.96
Rabi Sorghum,12.78,220.24
Sorghum,29.05,446.86
Pearl Millet,27.69,458.98
Maize,17.67,1429.39
Finger Millet,7.05,445.18
Barley,3.27,645.95
Chickpea,17.79,579.3
Pigeonpea,7.78,572.98
Minor Pulses,34.51,468.25
Groundnut,23.03,686.11
Sesamum,5.22,290.8
Rapeseed And Mustard,12.5,498.13
Safflower,1.26,63.14
Castor,1.47,205.66
Linseed,1.26,141.98
Sunflower,2.8,247.32
Soyabean,7.43,181.15
Oilseeds,59.72,592.73
Sugarcane,9.36,4353.2
Cotton,25.19,132.16
